"언어","종류","게시판","idx","제목","카테고리","날짜","본문길이","이미지수","첨부수"
"ko","news","news","62","[채용] 경희대학교 아동간호학교실 2025 상반기 ODA 영프로페셔널(YP) 채용 재공고 (기한 연장)","공지사항","2025-01-08","1971","1","1"
"ko","news","news","63","키르기즈 공화국 연수단 한국 방문 (2025.02.10. - 2025.02.14.)","공지사항","2025-02-20","329","0","1"
"ko","news","news","64","Poster Session: CALL FOR ABSTRACT NOTIFICATION","공지사항","2025-03-25","1375","4","0"
"ko","news","news","65","제 6회 International Nursing Forum","공지사항","2025-04-09","820","1","0"
"ko","news","news","66","Poster Session: CALL FOR ABSTRACT EXTENDED!","공지사항","2025-04-10","504","1","0"
"ko","news","news","68","[채용]2025년 NURSphere Lab 연구원 모집 공고","공지사항","2025-05-21","1426","0","2"
"ko","news","news","69","BK-LUPIC May 2025 Faculty Development Workshop: Innovative and Strategic Advancement of Nursing Education in the Kyrgyz Republic","공지사항","2025-05-26","1154","11","0"
"ko","news","news","70","[채용] 경희대학교 아동간호학교실 2026 상반기 ODA 영프로페셔널(YP) 채용","공지사항","2025-12-24","1905","1","1"
"ko","news","news","71","Call for Abstract: 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","공지사항","2026-02-23","1114","1","0"
"ko","news","news","72","[Register Now] 7TH INTERNATIONAL FORUM ON NURSING AND MIDWIFERY!","공지사항","2026-03-04","307","1","0"
"ko","news","news","73","[Abstract Submission Deadline — Extended!] 7th International Nursing Forum 2026, “Nursing and Midwifery Without Borders: Experience, Science, and Innovation.”","공지사항","2026-03-20","504","1","0"
"ko","news","news","74","[채용] 경희대학교 아동간호학교실 2026 하반기 ODA 영프로페셔널(YP) 채용","공지사항","2026-09-03","1931","1","1"
"ko","news","news","75","[BK-LUPIC 소식] 신현숙 사업단장 키르기스스탄 파견 활동","공지사항","2026-09-04","288","1","0"
"ko","news","news","76","[BK-LUPIC 소식] 신현숙 사업단장, 주키르기스스탄 대한민국 대사관 방문","공지사항","2026-09-04","526","1","0"
"ko","news","news","77","[BK-LUPIC 소식] 신현숙 사업단장, 키르기스스탄 보건부 의학교육·과학 부서와 회의","공지사항","2026-09-04","339","1","0"
"en","news","news_en","10","[Notice] 2022 year in review","Notice","2023-02-09","1253","10","0"
"en","news","news_en","11","[Korean News Article] BK-LUPIC project is welcoming you!","Korean","2023-02-09","415","3","0"
"en","news","news_en","12","[Notice] 4th Educational session 'Implementation and planning an effective strategy for the health information system in the Kyrgyz Republic'","Notice","2023-03-29","121","2","0"
"en","news","news_en","13","[Notice] 5th Educational session 'Bachelor's degree program in Nursing and Professional standard'","Notice","2023-03-29","121","2","0"
"en","news","news_en","14","International Nurses Day 2023","Notice","2023-05-12","1457","2","0"
"en","news","news_en","15","[Notice] 4th International Nursing Forum 2023","Notice","2023-05-30","1202","1","0"
"en","news","news_en","16","[Notice] CALL FOR ABSTRACT! (Submission date EXTENDED!)","Notice","2023-05-30","2547","1","0"
"en","news","news_en","17","[Korean News Article] Media reports officially approved Bachelor's and graduate degree programs in nursing and midwifery in the Kyrgyz Republic","Notice","2023-06-16","962","4","0"
"en","news","news_en","18","Poster Session: CALL FOR ABSTRACT NOTIFICATION","Notice","2024-03-28","2284","1","0"
"en","news","news_en","19","Poster Session: CALL FOR ABSTRACT! (Submission date EXTENDED!)","Notice","2024-04-13","597","1","0"
"en","news","news_en","2","[Notice] Call for abstract of the Intl conference 2019 'Child Health and Nursing Education'","Notice","2023-02-09","4","2","0"
"en","news","news_en","20","5th International Nursing Forum","Notice","2024-05-01","1398","1","1"
